component,date,value,title,vintage_date,units,freq,seas_adj,updated
CUSR0000SEFX,1992-11-01,164.8,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1992-12-01,165.3,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1993-01-01,165.6,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1993-02-01,165.6,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1993-03-01,166.2,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1993-04-01,166.5,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1993-05-01,166.9,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1993-06-01,167.3,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1993-07-01,167.8,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1993-08-01,168.2,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1993-09-01,168.3,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1993-10-01,168.6,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1993-11-01,168.3,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1993-12-01,169.5,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1994-01-01,170.6,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1994-02-01,170.5,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1994-03-01,170.7,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1994-04-01,170.9,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1994-05-01,171,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1994-06-01,171.3,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1994-07-01,171.2,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1994-08-01,171.5,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1994-09-01,172.1,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1994-10-01,172.5,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1994-11-01,173.1,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1994-12-01,173.5,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1995-01-01,173.3,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1995-02-01,173.8,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1995-03-01,174.6,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1995-04-01,175.4,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1995-05-01,176.1,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1995-06-01,176.5,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1995-07-01,177.1,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1995-08-01,177.6,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1995-09-01,177.9,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1995-10-01,178.2,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1995-11-01,178.6,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1995-12-01,178.8,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1996-01-01,179.4,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1996-02-01,180,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1996-03-01,180.6,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1996-04-01,181.8,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1996-05-01,182.3,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1996-06-01,182.8,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1996-07-01,182.4,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1996-08-01,183.2,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1996-09-01,183.9,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1996-10-01,185,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1996-11-01,185.4,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1996-12-01,185.6,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1997-01-01,186.5,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1997-02-01,187,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1997-03-01,187.6,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1997-04-01,188,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1997-05-01,188.7,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1997-06-01,188.9,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1997-07-01,189.7,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1997-08-01,190.3,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1997-09-01,190.8,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1997-10-01,191.2,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1997-11-01,191.7,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1997-12-01,192.5,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1998-01-01,193.1,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1998-02-01,193.6,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1998-03-01,194,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1998-04-01,193.6,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1998-05-01,193.4,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1998-06-01,193.9,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1998-07-01,195.1,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1998-08-01,195.4,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1998-09-01,196.5,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1998-10-01,196.9,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1998-11-01,196.9,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1998-12-01,198.1,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1999-01-01,198.2,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1999-02-01,198.9,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1999-03-01,199.2,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1999-04-01,199.4,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1999-05-01,200.3,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1999-06-01,200.9,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1999-07-01,201.2,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1999-08-01,202,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1999-09-01,202.7,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1999-10-01,202.2,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1999-11-01,202.9,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1999-12-01,203.5,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,2000-01-01,204.3,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,2000-02-01,204.8,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,2000-03-01,204.1,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,2000-04-01,204.2,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,2000-05-01,205.2,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,2000-06-01,206.1,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,2000-07-01,207.7,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,2000-08-01,208.8,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,2000-09-01,209.2,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,2000-10-01,209.9,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,2000-11-01,210.3,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,2000-12-01,210.4,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,2001-01-01,211,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,2001-02-01,211.6,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,2001-03-01,212.4,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,2001-04-01,213.2,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,2001-05-01,214.2,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,2001-06-01,215.1,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,2001-07-01,215.8,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,2001-08-01,216.5,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,2001-09-01,216.8,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,2001-10-01,217.8,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,2001-11-01,218.5,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,2001-12-01,219.2,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,2002-01-01,219.6,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,2002-02-01,219.8,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,2002-03-01,220.7,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,2002-04-01,221.5,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,2002-05-01,222,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,2002-06-01,221.9,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,2002-07-01,222.2,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,2002-08-01,223,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,2002-09-01,223.7,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,2002-10-01,224.3,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,2002-11-01,225.8,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,2002-12-01,225.7,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,2003-01-01,226.6,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
