date,fips,mmwr_week,recip_county,recip_state,series_complete_pop_pct,series_complete_yes,series_complete_12plus,series_complete_12plus_pop_pct,series_complete_18plus,series_complete_18plus_pop_pct,series_complete_65plus,series_complete_65plus_pop_pct,completeness_pct,administered_dose1_recip,administered_dose1_pop_pct,administered_dose1_recip_12plus,administered_dose1_recip_12plus_pop_pct,administered_dose1_recip_18plus,administered_dose1_recip_18plus_pop_pct,administered_dose1_recip_65plus,administered_dose1_recip_65plus_pop_pct,svi_ctgy,series_complete_pop_pct_svi,series_complete_12plus_pop_pct_svi,series_complete_18plus_pop_pct_svi,series_complete_65plus_pop_pct_svi
07/04/2021,23021,27,Piscataquis County,ME,48.9,8201,8200,54.4,7916,56.7,3507,76.3,96.3,8755,52.2,8754,58.1,8434,60.4,3653,79.5,Low-Mod,Mod-High VC/Low-Mod SVI,High VC/Low-Mod SVI,High VC/Low-Mod SVI,High VC/Low-Mod SVI
07/04/2021,42129,27,Westmoreland County,PA,45.5,158692,158687,51.4,153809,53.9,59354,73,93.6,187508,53.7,187494,60.7,180968,63.4,72971,89.8,Low,Mod-High VC/Low SVI,High VC/Low SVI,High VC/Low SVI,High VC/Low SVI
07/04/2021,48223,27,Hopkins County,TX,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,Mod-High,NA,NA,NA,NA
07/04/2021,16033,27,Clark County,ID,27.5,232,NA,NA,232,35.2,67,40.9,97.8,256,30.3,NA,NA,256,38.8,71,43.3,High,Low VC/High SVI,Low-Mod VC/High SVI,Low-Mod VC/High SVI,Low-Mod VC/High SVI
07/04/2021,29069,27,Dunklin County,MO,21.6,6283,6283,26,6246,28.8,2707,49.4,90.6,7280,25,7279,30.2,7201,33.2,3015,55,High,Low VC/High SVI,Low VC/High SVI,Low VC/High SVI,Low-Mod VC/High SVI
07/04/2021,06085,27,Santa Clara County,CA,66.5,1281834,1277156,77.2,1186870,78.5,224359,83.7,97.3,1421389,73.7,1415000,85.5,1315700,87,253153,94.4,Low-Mod,High VC/Low-Mod SVI,High VC/Low-Mod SVI,High VC/Low-Mod SVI,High VC/Low-Mod SVI
07/04/2021,40111,27,Okmulgee County,OK,29,11166,11166,34.2,11018,37.4,4524,61.8,93.5,12901,33.5,12901,39.5,12689,43,5027,68.6,High,Low VC/High SVI,Low-Mod VC/High SVI,Low-Mod VC/High SVI,Mod-High VC/High SVI
07/04/2021,19195,27,Worth County,IA,41.1,3033,3033,47.5,2975,50.8,1238,80.1,97.5,3179,43.1,3179,49.8,3097,52.9,1270,82.2,Low,Mod-High VC/Low SVI,Mod-High VC/Low SVI,High VC/Low SVI,High VC/Low SVI
07/04/2021,37187,27,Washington County,NC,31.6,3658,3655,36.2,3612,38.9,1898,64.7,96.3,4497,38.8,4490,44.5,4413,47.6,2250,76.7,High,Low-Mod VC/High SVI,Low-Mod VC/High SVI,Low-Mod VC/High SVI,Mod-High VC/High SVI
07/04/2021,21053,27,Clinton County,KY,26,2654,2654,30.3,2639,33.2,1152,57.1,93.4,2921,28.6,2919,33.4,2894,36.4,1250,61.9,High,Low VC/High SVI,Low-Mod VC/High SVI,Low-Mod VC/High SVI,Mod-High VC/High SVI
07/04/2021,41005,27,Clackamas County,OR,54.1,226335,225652,62.4,211493,64.2,61627,78.5,97.7,239419,57.3,238461,66,222082,67.4,62798,80,Low,High VC/Low SVI,High VC/Low SVI,High VC/Low SVI,High VC/Low SVI
07/04/2021,19027,27,Carroll County,IA,50.8,10252,10252,60.6,9960,65.4,3879,93,97.5,10697,53,10697,63.3,10360,68.1,3996,95.8,Low,High VC/Low SVI,High VC/Low SVI,High VC/Low SVI,High VC/Low SVI
07/04/2021,40061,27,Haskell County,OK,28.1,3553,3553,33.1,3521,36.4,1636,63.5,93.5,3988,31.6,3987,37.2,3936,40.7,1755,68.1,High,Low VC/High SVI,Low-Mod VC/High SVI,Low-Mod VC/High SVI,Mod-High VC/High SVI
07/04/2021,38057,27,Mercer County,ND,30,2459,2458,35.5,2429,38.6,1112,67.7,95.2,2685,32.8,2684,38.8,2642,42,1186,72.2,Low,Low-Mod VC/Low SVI,Low-Mod VC/Low SVI,Low-Mod VC/Low SVI,Mod-High VC/Low SVI
07/04/2021,45041,27,Florence County,SC,37.9,52354,52283,44.6,50950,48.2,19021,79,93.5,58689,42.4,58581,50,56640,53.5,20428,84.9,High,Low-Mod VC/High SVI,Mod-High VC/High SVI,Mod-High VC/High SVI,High VC/High SVI
07/04/2021,09001,27,Fairfield County,CT,62.1,585413,585254,72.1,545497,74.4,133113,86.5,98.4,656519,69.6,656101,80.8,606801,82.7,143768,93.4,Low-Mod,High VC/Low-Mod SVI,High VC/Low-Mod SVI,High VC/Low-Mod SVI,High VC/Low-Mod SVI
07/04/2021,13225,27,Peach County,GA,6.6,1812,1812,7.6,1716,7.9,467,10.3,53.2,2019,7.3,2018,8.5,1871,8.6,548,12.1,High,Low VC/High SVI,Low VC/High SVI,Low VC/High SVI,Low VC/High SVI
07/04/2021,18123,27,Perry County,IN,44,8438,8438,51,8231,54.4,2915,80.1,98.6,8934,46.6,8934,54,8665,57.2,2984,82,Low-Mod,Mod-High VC/Low-Mod SVI,High VC/Low-Mod SVI,High VC/Low-Mod SVI,High VC/Low-Mod SVI
07/04/2021,20169,27,Saline County,KS,35.3,19148,19148,41.7,18636,44.8,6401,64.4,93.2,21135,39,21134,46,20410,49.1,6910,69.5,Low-Mod,Low-Mod VC/Low-Mod SVI,Mod-High VC/Low-Mod SVI,Mod-High VC/Low-Mod SVI,Mod-High VC/Low-Mod SVI
07/04/2021,13315,27,Wilcox County,GA,6.5,562,562,7.4,552,7.9,210,13.4,53.2,638,7.4,NA,0,NA,0,NA,0,High,Low VC/High SVI,Low VC/High SVI,Low VC/High SVI,Low VC/High SVI
07/04/2021,17167,27,Sangamon County,IL,47.9,93186,92968,55.7,88738,58.5,29036,81,97.6,110871,57,110514,66.2,104858,69.1,32842,91.7,Low-Mod,Mod-High VC/Low-Mod SVI,High VC/Low-Mod SVI,High VC/Low-Mod SVI,High VC/Low-Mod SVI
07/04/2021,55051,27,Iron County,WI,48.8,2773,2773,53.6,2682,55.5,1427,78.3,97.1,2986,52.5,2986,57.8,2877,59.6,1485,81.5,Low-Mod,Mod-High VC/Low-Mod SVI,High VC/Low-Mod SVI,High VC/Low-Mod SVI,High VC/Low-Mod SVI
07/04/2021,48407,27,San Jacinto County,TX,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,Mod-High,NA,NA,NA,NA
07/04/2021,45045,27,Greenville County,SC,39.4,206059,205676,46.3,197993,49.1,64201,76,93.5,232260,44.4,231623,52.2,221805,55,70555,83.5,Mod-High,Low-Mod VC/Mod-High SVI,Mod-High VC/Mod-High SVI,Mod-High VC/Mod-High SVI,High VC/Mod-High SVI
07/04/2021,20199,27,Wallace County,KS,27.7,420,420,33.2,418,36.5,215,58.4,93.2,450,29.6,450,35.6,443,38.7,217,59,Low,Low VC/Low SVI,Low-Mod VC/Low SVI,Low-Mod VC/Low SVI,Mod-High VC/Low SVI
07/04/2021,22041,27,Franklin Parish,LA,24,4810,4810,28.9,4789,32,2098,56.9,95.9,5331,26.6,5331,32,5274,35.3,2241,60.8,High,Low VC/High SVI,Low VC/High SVI,Low-Mod VC/High SVI,Mod-High VC/High SVI
07/04/2021,72085,27,Las Piedras Municipio,PR,51.4,19006,19001,57.6,17766,58.5,4680,74.4,96,21782,58.9,21771,66,20205,66.5,5116,81.3,Low,High VC/Low SVI,High VC/Low SVI,High VC/Low SVI,High VC/Low SVI
07/04/2021,72077,27,Juncos Municipio,PR,50.6,19322,19318,56.8,18001,57.5,4625,71.3,96,21895,57.4,21886,64.3,20208,64.5,5001,77.1,Mod-High,High VC/Mod-High SVI,High VC/Mod-High SVI,High VC/Mod-High SVI,High VC/Mod-High SVI
07/04/2021,29211,27,Sullivan County,MO,29.9,1819,1819,35.1,1805,38.2,770,60.9,90.6,2034,33.4,2034,39.2,2012,42.6,823,65.1,Mod-High,Low VC/Mod-High SVI,Low-Mod VC/Mod-High SVI,Low-Mod VC/Mod-High SVI,Mod-High VC/Mod-High SVI
07/04/2021,72123,27,Salinas Municipio,PR,54.8,14866,14865,61.4,14023,63,4091,88.7,96,17337,63.9,17337,71.7,16319,73.3,4411,95.6,High,High VC/High SVI,High VC/High SVI,High VC/High SVI,High VC/High SVI
07/04/2021,48251,27,Johnson County,TX,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,Mod-High,NA,NA,NA,NA
07/04/2021,37173,27,Swain County,NC,39.9,5695,5693,46.9,5469,49.1,2171,77.5,96.3,6632,46.5,6629,54.6,6291,56.5,2356,84.1,High,Low-Mod VC/High SVI,Mod-High VC/High SVI,Mod-High VC/High SVI,High VC/High SVI
07/04/2021,48105,27,Crockett County,TX,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,Mod-High,NA,NA,NA,NA
07/04/2021,20141,27,Osborne County,KS,32,1094,1094,37.4,1088,40.5,555,65,93.2,1191,34.8,1191,40.7,1181,44,587,68.7,Low,Low-Mod VC/Low SVI,Low-Mod VC/Low SVI,Mod-High VC/Low SVI,Mod-High VC/Low SVI
07/04/2021,01101,27,Montgomery County,AL,33.5,75954,75951,39.9,74149,42.7,22949,65,91.8,98020,43.3,98010,51.4,94829,54.6,28704,81.4,High,Low-Mod VC/High SVI,Low-Mod VC/High SVI,Mod-High VC/High SVI,Mod-High VC/High SVI
07/04/2021,41029,27,Jackson County,OR,43.2,95459,95308,49.9,91760,52.2,36582,73.4,97.7,104219,47.2,103993,54.5,99623,56.7,38855,77.9,Mod-High,Mod-High VC/Mod-High SVI,Mod-High VC/Mod-High SVI,High VC/Mod-High SVI,High VC/Mod-High SVI
07/04/2021,01067,27,Henry County,AL,29.5,5068,5068,33.8,5022,36.7,2485,61.6,91.8,6159,35.8,6158,41.1,6072,44.3,2841,70.5,Mod-High,Low VC/Mod-High SVI,Low-Mod VC/Mod-High SVI,Low-Mod VC/Mod-High SVI,Mod-High VC/Mod-High SVI
07/04/2021,12043,27,Glades County,FL,22.6,3120,3120,24.8,3093,26.2,1519,39.9,98.7,3417,24.7,3417,27.1,3379,28.6,1530,40.2,High,Low VC/High SVI,Low VC/High SVI,Low VC/High SVI,Low-Mod VC/High SVI
07/04/2021,08021,27,Conejos County,CO,26.3,2158,2154,31.4,2067,33.7,698,42.7,75.8,NA,0,NA,0,NA,0,NA,0,High,Low VC/High SVI,Low-Mod VC/High SVI,Low-Mod VC/High SVI,Low-Mod VC/High SVI
07/04/2021,13183,27,Long County,GA,3.1,608,608,3.8,568,4,143,7.2,53.2,691,3.5,691,4.3,632,4.4,147,7.4,High,Low VC/High SVI,Low VC/High SVI,Low VC/High SVI,Low VC/High SVI
07/04/2021,20157,27,Republic County,KS,40.5,1878,1878,47.4,1859,51.1,916,71.1,93.2,1953,42.1,1953,49.3,1925,52.9,930,72.1,Low,Mod-High VC/Low SVI,Mod-High VC/Low SVI,High VC/Low SVI,High VC/Low SVI
07/04/2021,18091,27,LaPorte County,IN,45,49475,49474,52.5,47973,55.4,17001,83.7,98.6,52422,47.7,52420,55.6,50562,58.4,17439,85.9,Mod-High,Mod-High VC/Mod-High SVI,High VC/Mod-High SVI,High VC/Mod-High SVI,High VC/Mod-High SVI
07/04/2021,31085,27,Hayes County,NE,15.9,147,147,19.1,147,20.8,64,24.8,88.8,NA,0,NA,0,NA,0,NA,0,Low,Low VC/Low SVI,Low VC/Low SVI,Low VC/Low SVI,Low VC/Low SVI
07/04/2021,45061,27,Lee County,SC,28.4,4781,4779,32.4,4699,34.8,2079,62.8,93.5,5421,32.2,5417,36.8,5296,39.2,2296,69.4,High,Low VC/High SVI,Low-Mod VC/High SVI,Low-Mod VC/High SVI,Mod-High VC/High SVI
07/04/2021,27037,27,Dakota County,MN,53.1,227727,227008,62.9,212679,65.4,53141,84.3,95,247210,57.6,246270,68.2,230287,70.9,55669,88.3,Low,High VC/Low SVI,High VC/Low SVI,High VC/Low SVI,High VC/Low SVI
07/04/2021,51013,27,Arlington County,VA,35.5,84103,83933,40.7,81614,42.1,8944,34,51.2,95077,40.1,94839,46,91914,47.4,10382,39.5,Low,Low-Mod VC/Low SVI,Mod-High VC/Low SVI,Mod-High VC/Low SVI,Low-Mod VC/Low SVI
07/04/2021,78020,27,St. John Island,VI,0,2387,2387,0,2342,0,651,0,84,2553,0,2553,0,2500,0,674,0,NA,NA,NA,NA,NA
07/04/2021,19073,27,Greene County,IA,46.4,4126,4126,54.6,3993,58.3,1753,87.5,97.5,4369,49.2,4369,57.8,4205,61.4,1812,90.5,Low,Mod-High VC/Low SVI,High VC/Low SVI,High VC/Low SVI,High VC/Low SVI
07/04/2021,40047,27,Garfield County,OK,32.5,19873,19873,39.4,19381,42.7,7336,73,93.5,23132,37.9,23132,45.8,22454,49.5,8168,81.2,Mod-High,Low-Mod VC/Mod-High SVI,Low-Mod VC/Mod-High SVI,Mod-High VC/Mod-High SVI,High VC/Mod-High SVI
07/04/2021,35037,27,Quay County,NM,25.8,2130,2130,29.9,2121,32.7,931,43.9,82.1,NA,0,NA,0,NA,0,NA,0,High,Low VC/High SVI,Low VC/High SVI,Low-Mod VC/High SVI,Low-Mod VC/High SVI
07/04/2021,51131,27,Northampton County,VA,44.8,5244,5237,51.4,5085,54,2190,69.2,51.2,5752,49.1,5742,56.3,5531,58.8,2300,72.6,Mod-High,Mod-High VC/Mod-High SVI,High VC/Mod-High SVI,High VC/Mod-High SVI,Mod-High VC/Mod-High SVI
07/04/2021,48023,27,Baylor County,TX,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,Low,NA,NA,NA,NA
07/04/2021,51149,27,Prince George County,VA,18.2,6965,6964,21.3,6908,23.1,510,9.2,51.2,7851,20.5,7850,24,7748,25.9,549,9.9,Low-Mod,Low VC/Low-Mod SVI,Low VC/Low-Mod SVI,Low VC/Low-Mod SVI,Low VC/Low-Mod SVI
07/04/2021,22077,27,Pointe Coupee Parish,LA,36.4,7900,7900,42.3,7811,45.7,3351,72.1,95.9,8366,38.5,8366,44.8,8220,48.1,3401,73.2,High,Low-Mod VC/High SVI,Mod-High VC/High SVI,Mod-High VC/High SVI,High VC/High SVI
07/04/2021,20185,27,Stafford County,KS,33.3,1386,1386,39.5,1365,42.8,642,66.9,93.2,1489,35.8,1489,42.4,1459,45.8,660,68.8,Low-Mod,Low-Mod VC/Low-Mod SVI,Low-Mod VC/Low-Mod SVI,Mod-High VC/Low-Mod SVI,Mod-High VC/Low-Mod SVI
07/04/2021,41053,27,Polk County,OR,49,42192,42106,57.1,39961,59.8,13040,81.9,97.7,44851,52.1,44717,60.6,42133,63,13384,84.1,Mod-High,Mod-High VC/Mod-High SVI,High VC/Mod-High SVI,High VC/Mod-High SVI,High VC/Mod-High SVI
07/04/2021,38053,27,McKenzie County,ND,14.4,2166,2164,18.6,2116,20.7,616,46.5,95.2,2705,18,2700,23.2,2614,25.5,737,55.6,Low-Mod,Low VC/Low-Mod SVI,Low VC/Low-Mod SVI,Low VC/Low-Mod SVI,Low-Mod VC/Low-Mod SVI
07/04/2021,06055,27,Napa County,CA,59.7,82237,82002,68.1,77115,70.1,22164,81.6,97.3,94366,68.5,94003,78.1,88035,80.1,24662,90.8,Mod-High,High VC/Mod-High SVI,High VC/Mod-High SVI,High VC/Mod-High SVI,High VC/Mod-High SVI
