salary,education,grade,years1,years2,age,region,coding_job
76000,Ed_3,job_grade_3,5,0,25,Region A,No
70000,Ed_4,job_grade_3,6,0,38,Region A,No
80000,Ed_3,job_grade_3,6,0,41,Region A,No
67400,Ed_2,job_grade_3,9,0,59,Region A,No
76000,Ed_3,job_grade_3,3,2,27,Region A,Yes
79000,Ed_5,job_grade_3,4,0,30,Region A,No
72600,Ed_2,job_grade_3,7,5,34,Region A,No
65000,Ed_3,job_grade_3,8,2,35,Region A,No
74000,Ed_2,job_grade_3,12,6,50,Region A,No
65200,Ed_5,job_grade_3,3,1,33,Region A,No
72000,Ed_3,job_grade_3,4,0,26,Region A,No
70000,Ed_5,job_grade_3,3,0,36,Region A,No
87200,Ed_5,job_grade_3,3,5,33,Region A,Yes
67600,Ed_3,job_grade_3,8,0,47,Region A,No
70600,Ed_1,job_grade_3,21,0,51,Region A,No
84800,Ed_1,job_grade_3,16,6,42,Region A,No
87000,Ed_2,job_grade_3,25,10,62,Region A,No
80600,Ed_3,job_grade_3,21,9,60,Region A,No
81320,Ed_1,job_grade_3,25,2,53,Region A,No
79400,Ed_3,job_grade_3,13,1,38,Region A,No
90000,Ed_5,job_grade_3,6,5,39,Region A,No
87800,Ed_5,job_grade_3,7,0,35,Region A,No
76000,Ed_4,job_grade_3,8,3,40,Region A,No
78040,Ed_5,job_grade_3,5,3,32,Region A,No
85000,Ed_5,job_grade_4,5,4,32,Region A,No
80520,Ed_5,job_grade_4,7,3,37,Region A,No
71000,Ed_1,job_grade_4,13,9,50,Region A,No
88000,Ed_5,job_grade_4,7,0,32,Region A,No
88800,Ed_2,job_grade_4,15,4,47,Region A,No
76000,Ed_3,job_grade_4,17,0,44,Region A,No
88000,Ed_5,job_grade_4,3,12,50,Region A,No
108600,Ed_3,job_grade_4,19,8,59,Region A,Yes
89600,Ed_3,job_grade_4,26,0,47,Region A,No
87600,Ed_5,job_grade_4,15,0,41,Region A,No
96000,Ed_1,job_grade_4,12,4,39,Region A,Yes
85400,Ed_5,job_grade_4,9,0,39,Region A,No
97000,Ed_3,job_grade_4,14,1,40,Region A,Yes
84000,Ed_3,job_grade_4,16,0,49,Region A,No
91000,Ed_2,job_grade_4,16,1,53,Region A,No
89000,Ed_3,job_grade_4,11,0,37,Region A,No
102400,Ed_2,job_grade_4,13,2,40,Region A,No
89000,Ed_5,job_grade_5,8,0,37,Region A,No
86200,Ed_3,job_grade_5,17,4,46,Region A,No
90000,Ed_3,job_grade_5,8,5,35,Region A,No
105000,Ed_5,job_grade_5,16,5,49,Region A,No
123000,Ed_5,job_grade_5,12,2,40,Region A,No
100000,Ed_5,job_grade_5,9,2,37,Region A,No
123600,Ed_5,job_grade_5,12,2,46,Region A,No
86000,Ed_4,job_grade_5,16,0,43,Region A,No
117000,Ed_5,job_grade_5,9,6,37,Region A,No
60000,Ed_5,job_grade_6,33,0,62,Region A,No
64000,Ed_3,job_grade_1,3,1,26,Region B,No
58000,Ed_3,job_grade_1,3,0,28,Region B,No
54000,Ed_3,job_grade_1,8,2,33,Region B,No
62000,Ed_2,job_grade_1,3,3,28,Region B,No
53400,Ed_2,job_grade_1,3,4,33,Region B,No
61500,Ed_3,job_grade_1,3,1,24,Region B,No
59000,Ed_3,job_grade_1,3,1,27,Region B,No
62000,Ed_3,job_grade_1,3,8,43,Region B,No
61000,Ed_3,job_grade_1,3,2,26,Region B,No
77600,Ed_1,job_grade_1,17,3,53,Region B,No
62400,Ed_3,job_grade_1,5,10,51,Region B,No
71000,Ed_1,job_grade_1,3,3,58,Region B,No
66000,Ed_2,job_grade_2,6,3,30,Region B,No
59800,Ed_2,job_grade_2,7,4,57,Region B,No
67000,Ed_3,job_grade_2,3,1,25,Region B,No
68000,Ed_3,job_grade_2,4,0,35,Region B,No
73000,Ed_5,job_grade_2,3,0,35,Region B,No
66000,Ed_3,job_grade_2,4,0,22,Region B,No
69840,Ed_2,job_grade_2,12,18,52,Region B,No
78000,Ed_5,job_grade_2,3,5,33,Region B,No
74000,Ed_5,job_grade_2,3,1,26,Region B,No
68000,Ed_5,job_grade_2,4,0,28,Region B,No
69000,Ed_3,job_grade_2,3,2,26,Region B,No
60000,Ed_4,job_grade_2,2,2,27,Region B,No
71000,Ed_3,job_grade_2,5,0,27,Region B,No
72000,Ed_3,job_grade_3,5,0,31,Region B,No
83000,Ed_5,job_grade_3,4,0,26,Region B,No
72000,Ed_3,job_grade_3,5,0,29,Region B,No
72600,Ed_2,job_grade_3,5,4,29,Region B,No
79000,Ed_5,job_grade_3,5,0,31,Region B,No
84000,Ed_5,job_grade_3,6,1,46,Region B,No
88000,Ed_4,job_grade_3,6,5,43,Region B,No
89000,Ed_5,job_grade_4,5,3,33,Region B,No
82000,Ed_5,job_grade_4,4,1,30,Region B,No
88000,Ed_5,job_grade_4,6,3,37,Region B,No
88000,Ed_5,job_grade_4,6,0,30,Region B,No
89000,Ed_5,job_grade_4,5,1,29,Region B,No
85000,Ed_5,job_grade_4,6,0,29,Region B,No
90000,Ed_5,job_grade_4,6,2,31,Region B,No
83600,Ed_5,job_grade_4,4,0,27,Region B,No
91000,Ed_1,job_grade_4,23,0,55,Region B,No
85000,Ed_3,job_grade_4,5,4,52,Region B,No
94000,Ed_3,job_grade_4,6,4,43,Region B,No
95000,Ed_5,job_grade_5,7,0,34,Region B,No
94000,Ed_5,job_grade_5,8,0,31,Region B,No
94000,Ed_5,job_grade_5,6,10,41,Region B,No
98000,Ed_5,job_grade_5,8,2,37,Region B,No
97000,Ed_5,job_grade_5,8,0,33,Region B,No
95000,Ed_5,job_grade_5,6,2,33,Region B,No
96000,Ed_5,job_grade_5,7,0,31,Region B,No
93000,Ed_5,job_grade_5,8,4,49,Region B,No
94000,Ed_5,job_grade_5,11,1,36,Region B,No
110000,Ed_5,job_grade_5,16,7,40,Region B,No
114000,Ed_3,job_grade_5,24,3,54,Region B,No
114000,Ed_5,job_grade_5,17,1,57,Region B,No
120000,Ed_5,job_grade_5,14,0,49,Region B,No
120000,Ed_3,job_grade_6,13,0,41,Region B,No
118000,Ed_5,job_grade_6,19,4,59,Region B,No
120000,Ed_5,job_grade_6,12,0,51,Region B,No
130000,Ed_5,job_grade_6,20,0,45,Region B,No
104000,Ed_5,job_grade_6,20,1,56,Region B,No
116000,Ed_5,job_grade_6,22,0,57,Region B,No
120000,Ed_4,job_grade_6,21,0,53,Region B,No
148000,Ed_5,job_grade_6,39,0,65,Region B,No
190000,Ed_3,job_grade_6,34,0,60,Region B,No
194000,Ed_5,job_grade_6,36,0,61,Region B,No
176000,Ed_5,job_grade_6,32,0,62,Region B,No
188000,Ed_5,job_grade_6,35,0,59,Region B,No
