salary,education,job_grade,years_bank,years_prior,age,gender,PC_job
42000,5,3,6,1,46,Male,No
40300,3,3,21,9,60,Female,No
44000,4,3,6,5,43,Male,No
40660,1,3,25,2,53,Female,No
39700,3,3,13,1,38,Female,No
45000,5,3,6,5,39,Female,No
43900,5,3,7,0,35,Female,No
38000,4,3,8,3,40,Female,No
39020,5,3,5,3,32,Female,No
44500,5,4,5,3,33,Male,No
41000,5,4,4,1,30,Male,No
44000,5,4,6,3,37,Male,No
44000,5,4,6,0,30,Male,No
42500,5,4,5,4,32,Female,No
40260,5,4,7,3,37,Female,No
44500,5,4,5,1,29,Male,No
35500,1,4,13,9,50,Female,No
42500,5,4,6,0,29,Male,No
44000,5,4,7,0,32,Female,No
45000,5,4,6,2,31,Male,No
44400,2,4,15,4,47,Female,No
38000,3,4,17,0,44,Female,No
41800,5,4,4,0,27,Male,No
45500,1,4,23,0,55,Male,No
42500,3,4,5,4,52,Male,No
44000,5,4,3,12,50,Female,No
54300,3,4,19,8,59,Female,Yes
44800,3,4,26,0,47,Female,No
47000,3,4,6,4,43,Male,No
43800,5,4,15,0,41,Female,No
48000,1,4,12,4,39,Female,Yes
42700,5,4,9,0,39,Female,No
48500,3,4,14,1,40,Female,Yes
42000,3,4,16,0,49,Female,No
45500,2,4,16,1,53,Female,No
44500,3,4,11,0,37,Female,No
51200,2,4,13,2,40,Female,No
47500,5,5,7,0,34,Male,No
44500,5,5,8,0,37,Female,No
47000,5,5,8,0,31,Male,No
47000,5,5,6,10,41,Male,No
43100,3,5,17,4,46,Female,No
49000,5,5,8,2,37,Male,No
48500,5,5,8,0,33,Male,No
45000,3,5,8,5,35,Female,No
52500,5,5,16,5,49,Female,No
47500,5,5,6,2,33,Male,No
48000,5,5,7,0,31,Male,No
46500,5,5,8,4,49,Male,No
61500,5,5,12,2,40,Female,No
50000,5,5,9,2,37,Female,No
61800,5,5,12,2,46,Female,No
43000,4,5,16,0,43,Female,No
47000,5,5,11,1,36,Male,No
58500,5,5,9,6,37,Female,No
55000,5,5,16,7,40,Male,No
57000,3,5,24,3,54,Male,No
57000,5,5,17,1,57,Male,No
60000,5,5,14,0,49,Male,No
60000,3,6,13,0,41,Male,No
59000,5,6,19,4,59,Male,No
60000,5,6,12,0,51,Male,No
65000,5,6,20,0,45,Male,No
52000,5,6,20,1,56,Male,No
58000,5,6,22,0,57,Male,No
60000,4,6,21,0,53,Male,No
74000,5,6,39,0,65,Male,No
95000,3,6,34,0,60,Male,No
97000,5,6,36,0,61,Male,No
88000,5,6,32,0,62,Male,No
94000,5,6,35,0,59,Male,No
30000,5,6,33,0,62,Female,No
