day,bikes_hired,yday,temp,dewp,slp,stp,visib,wdsp,mxspd,gust,max_temp,min_temp,prcp,prcp_attributes,i_fog,i_rain_drizzle,i_snow_ice,i_hail,i_thunder,ea,es,rh
2010-10-01T00:00:00Z,11424,274,14.4,12.7,NA,NA,10,5.5,9.3,13.9,16.4,12,0.3,G,1,0,0,0,0,1.5,1.6,89.5
2010-10-02T00:00:00Z,10704,275,12.8,11.1,NA,NA,9.2,2.5,4.1,NA,17,9,11.9,G,1,0,0,0,0,1.3,1.5,89.4
2010-10-03T00:00:00Z,8237,276,15.2,12.9,NA,NA,10.1,4.7,8.7,12.9,18,12,21.8,G,1,0,0,0,0,1.5,1.7,86.2
2010-10-04T00:00:00Z,23688,277,13.9,12.7,999,996,9,2.2,4.6,NA,16.3,11,2.5,G,1,0,0,0,0,1.5,1.6,92.5
2010-10-05T00:00:00Z,22054,278,15.3,12.8,NA,NA,10.5,4,5.7,NA,18.3,11,1.5,G,1,0,0,0,0,1.5,1.7,85
2010-10-06T00:00:00Z,20114,279,14.4,10.5,NA,NA,10.6,4.5,8.2,NA,18.3,10,0,G,1,0,0,0,0,1.3,1.6,77.4
2010-10-07T00:00:00Z,24072,280,13.6,9.9,NA,NA,10.5,3.1,5.7,NA,18.6,8,3,G,1,0,0,0,0,1.2,1.6,78.3
2010-10-08T00:00:00Z,22886,281,16.9,14.6,NA,NA,4.3,4.6,6.7,11.3,21.1,14,0,G,0,0,0,0,0,1.7,1.9,86.3
2010-10-09T00:00:00Z,14463,282,16,13.3,NA,NA,5.6,4.2,6.2,NA,18,14.8,0,G,0,0,0,0,0,1.5,1.8,84
2010-10-10T00:00:00Z,14871,283,15.7,10.3,NA,NA,6.9,4.2,6.7,NA,20.3,12,0,G,0,0,0,0,0,1.3,1.8,70.3
2010-10-11T00:00:00Z,21986,284,13.8,8.8,NA,NA,9,4.5,7.7,NA,18.6,10,0,G,0,0,0,0,0,1.1,1.6,71.8
2010-10-12T00:00:00Z,23016,285,12.1,7.6,NA,NA,11.4,3.5,5.1,NA,15.3,9.5,0,G,0,0,0,0,0,1,1.4,74
2010-10-13T00:00:00Z,22251,286,10.9,5.8,NA,NA,11.6,2.9,4.6,NA,12.5,9.7,0,G,0,0,0,0,0,0.9,1.3,70.8
2010-10-14T00:00:00Z,21582,287,10.4,6.4,NA,NA,11.7,2.4,3.6,NA,11.7,9.7,0,G,0,0,0,0,0,1,1.3,76.3
2010-10-15T00:00:00Z,20934,288,10.7,8.1,NA,NA,9.3,2.9,5.1,NA,13.1,8,0,F,1,0,0,0,0,1.1,1.3,84
2010-10-16T00:00:00Z,12735,289,9.1,5.6,NA,NA,11.1,3,6.2,11.3,13.5,5.6,1.5,F,1,0,0,0,0,0.9,1.2,78.7
2010-10-17T00:00:00Z,12764,290,8,2.2,NA,NA,11.3,2,3.1,NA,13.9,4,0,F,0,0,0,0,0,0.7,1.1,66.8
2010-10-18T00:00:00Z,20464,291,9.4,5.5,NA,NA,11.1,4,7.7,NA,14.6,2.8,0,E,1,0,0,0,0,0.9,1.2,76.6
2010-10-19T00:00:00Z,17964,292,9.4,6.2,NA,NA,12.1,4.3,6.2,10.3,13.8,5,5.1,F,1,0,0,0,0,0.9,1.2,80.4
2010-10-20T00:00:00Z,20750,293,5.2,-0.7,NA,NA,11.9,3.3,6.2,NA,9.3,1,0,F,0,0,0,0,0,0.6,0.9,65.7
2010-10-21T00:00:00Z,21161,294,6.2,2.2,1023.2,20.1,13.2,4,7.7,11.3,12.5,-0.6,0,G,0,0,0,0,0,0.7,0.9,75.6
2010-10-22T00:00:00Z,20164,295,8.7,5.5,NA,NA,11.7,3.5,6.7,11.3,14.2,3.5,0.3,G,1,0,0,0,0,0.9,1.1,80.3
2010-10-23T00:00:00Z,11584,296,10,7.3,NA,NA,12.7,5,8.7,NA,12.8,6,0,G,1,0,0,1,0,1,1.2,83.3
2010-10-24T00:00:00Z,11259,297,6.4,2.9,NA,NA,10.6,2.3,5.1,NA,11.2,2.7,0.3,G,1,0,0,0,0,0.8,1,78.3
2010-10-25T00:00:00Z,18430,298,5.3,0.8,NA,NA,10.3,1.9,3.6,NA,12.1,1,0,G,0,0,0,0,0,0.6,0.9,72.7
2010-10-26T00:00:00Z,13950,299,8.8,6.7,NA,NA,10.8,4.5,7.7,NA,14,1.9,0,G,1,0,0,0,0,1,1.1,86.7
2010-10-27T00:00:00Z,19559,300,13.7,10.7,NA,NA,11.1,5.3,8.2,NA,17.6,10,4.3,G,1,0,0,0,0,1.3,1.6,82.1
2010-10-28T00:00:00Z,19995,301,13.1,10.3,NA,NA,11.1,5,7.2,11.3,16,10.2,0.3,G,0,0,0,0,0,1.3,1.5,83.1
2010-10-29T00:00:00Z,19119,302,12.8,10,NA,NA,12.4,5.8,8.7,13.9,15,11,0,G,1,0,0,0,0,1.2,1.5,83.1
2010-10-30T00:00:00Z,13493,303,11.3,8.6,NA,NA,12.7,3.9,5.7,11.8,14.6,8,5.1,F,1,0,0,0,0,1.1,1.3,83.5
2010-10-31T00:00:00Z,8739,304,11.1,9.5,NA,NA,10.8,2.8,5.1,NA,13,9,4.1,F,1,0,0,0,0,1.2,1.3,89.9
2010-11-01T00:00:00Z,19785,305,10.5,8.1,NA,NA,7.6,2.6,5.1,NA,14.1,8,0,H,1,0,0,0,0,1.1,1.3,85.1
2010-11-02T00:00:00Z,21754,306,13.3,10.1,1010.5,7.5,12.1,6.8,11.3,17.5,15.3,9.7,0.5,G,1,0,0,0,0,1.2,1.5,81
2010-11-03T00:00:00Z,27964,307,14.8,10.8,NA,NA,11.6,6.9,9.8,13.4,16.4,13,0,G,1,0,0,0,0,1.3,1.7,77
2010-11-04T00:00:00Z,22424,308,16.2,12.4,NA,NA,12.6,8.3,10.8,14.4,18.5,14.7,0,F,0,0,0,0,0,1.4,1.8,78.2
2010-11-05T00:00:00Z,15815,309,15.1,12.7,NA,NA,10.6,6.6,9.8,11.3,17.4,9,2,E,1,0,0,0,0,1.5,1.7,85.6
2010-11-06T00:00:00Z,11877,310,9.1,6.1,NA,NA,10.5,2.5,4.1,NA,12,4,6.6,G,1,0,0,0,0,0.9,1.2,81.5
2010-11-07T00:00:00Z,9331,311,6.1,3.1,NA,NA,9.8,2.3,4.1,NA,9.3,4.7,0,G,0,0,0,0,0,0.8,0.9,81.1
2010-11-08T00:00:00Z,11328,312,6.6,4.4,NA,NA,11.1,5.8,10.8,14.9,9.5,4.6,3,F,1,0,0,0,0,0.8,1,85.9
2010-11-09T00:00:00Z,16026,313,7.3,4.9,NA,NA,10.9,4.8,7.2,13.9,9,5,4.1,F,1,0,0,0,0,0.9,1,84.7
2010-11-10T00:00:00Z,19767,314,4.6,-0.6,NA,NA,12.2,3.7,5.7,NA,8.3,0,0,F,0,0,0,0,0,0.6,0.8,69
2010-11-11T00:00:00Z,12901,315,9.1,5.8,NA,NA,10.6,8.5,13.9,20.6,15,0.7,0.3,G,1,0,0,0,0,0.9,1.2,79.8
2010-11-12T00:00:00Z,14534,316,10.7,7.3,NA,NA,10.8,7.4,13.4,20.1,12,9,5.6,G,1,0,0,0,0,1,1.3,79.5
2010-11-13T00:00:00Z,12123,317,9.4,6.8,NA,NA,11.7,3.4,6.2,NA,10.4,8,2.8,G,0,0,0,0,0,1,1.2,83.8
2010-11-14T00:00:00Z,6235,318,6.8,5.4,NA,NA,7.2,2.5,6.2,NA,8.2,3,0,G,1,1,0,0,1,0.9,1,90.8
2010-11-15T00:00:00Z,18086,319,3.1,2.1,NA,NA,5.5,1.1,3.1,NA,8.2,0,0,F,1,0,0,0,0,0.7,0.8,93.1
2010-11-16T00:00:00Z,18764,320,3,2.3,NA,NA,2.3,1.5,5.1,NA,7,-0.6,0,F,1,1,0,0,0,0.7,0.8,95.2
2010-11-17T00:00:00Z,17005,321,6.7,4.2,NA,NA,10.6,5.6,7.2,NA,7.5,3.7,0.3,G,1,0,0,0,0,0.8,1,84.1
2010-11-18T00:00:00Z,15974,322,7.7,6.2,NA,NA,8.7,3.4,4.6,NA,10.9,5,0,G,1,0,0,0,0,0.9,1,90.2
2010-11-19T00:00:00Z,18545,323,6.7,4.7,NA,NA,7.7,1.3,3.6,NA,12.2,2,0,E,1,1,0,0,0,0.9,1,87.1
2010-11-20T00:00:00Z,10806,324,6.6,5.2,NA,NA,7.2,3.1,4.1,NA,8.4,4.8,0.3,G,1,0,0,0,0,0.9,1,90.8
2010-11-21T00:00:00Z,8356,325,6.6,4.3,NA,NA,9.8,3,4.6,NA,8,4.8,0.5,G,0,0,0,0,0,0.8,1,85.3
2010-11-22T00:00:00Z,17258,326,6.3,4.1,1009.5,6.4,11.4,2.8,4.1,NA,7.7,5,0,G,1,0,0,0,0,0.8,1,85.8
2010-11-23T00:00:00Z,17427,327,5.9,2.7,NA,NA,11.6,2.8,4.1,NA,7.6,3,0.3,G,1,0,0,0,0,0.7,0.9,79.9
2010-11-24T00:00:00Z,18628,328,2.4,-0.2,NA,NA,10.3,2.6,4.1,NA,5.6,-1,0,G,0,0,0,0,0,0.6,0.7,83
2010-11-25T00:00:00Z,16822,329,1.4,-1.9,NA,NA,11.7,2.9,4.6,NA,2.5,0,0.3,G,0,0,0,0,0,0.5,0.7,78.7
2010-11-26T00:00:00Z,16092,330,-0.1,-3.3,NA,NA,10.1,2.2,3.6,NA,3.8,-3,0,G,0,0,0,0,0,0.5,0.6,79
2010-11-27T00:00:00Z,7867,331,-1.1,-3,NA,NA,9.5,1.9,4.1,NA,1.5,-3.1,0,G,0,0,0,0,0,0.5,0.6,86.9
2010-11-28T00:00:00Z,6866,332,-1.9,-4.9,NA,NA,10.6,1.6,3.6,NA,1.6,-5,0,G,0,0,0,0,0,0.4,0.5,79.9
2010-11-29T00:00:00Z,16681,333,0.2,-2.7,NA,NA,11.4,2.9,4.6,NA,1.5,-1.5,0,G,0,0,0,0,0,0.5,0.6,80.9
2010-11-30T00:00:00Z,9263,334,0.9,-1.1,NA,NA,7.9,4.2,6.7,NA,2,0,0.3,G,1,1,0,0,0,0.6,0.7,86.5
2010-12-01T00:00:00Z,9848,335,-0.1,-5.5,NA,NA,10.8,5.4,7.7,12.9,0.2,-1.2,1.5,G,1,1,0,0,0,0.4,0.6,67
2010-12-02T00:00:00Z,7356,336,-0.8,-3.4,NA,NA,8.7,4.1,6.2,NA,0.1,-2,0,G,1,1,0,0,0,0.5,0.6,82.5
2010-12-03T00:00:00Z,8264,337,-3.1,-4.8,NA,NA,7.2,2.7,6.7,NA,3,-5,0.3,G,1,1,0,0,0,0.4,0.5,88
2010-12-04T00:00:00Z,7857,338,3.9,2.7,NA,NA,9.2,3.3,6.7,11.3,6.5,-3.9,0,G,1,0,0,0,0,0.7,0.8,91.9
2010-12-05T00:00:00Z,8321,339,1.9,0.4,NA,NA,7.7,2.1,3.6,NA,5,-2,0.5,F,1,0,0,0,0,0.6,0.7,89.8
2010-12-06T00:00:00Z,13855,340,-1.8,-2.4,NA,NA,2.3,1.7,2.6,NA,-0.7,-3,0,G,1,0,1,0,0,0.5,0.5,95.7
2010-12-07T00:00:00Z,15033,341,-0.4,-2.3,NA,NA,7.4,2,3.6,NA,2,-2,0,F,1,0,0,0,0,0.5,0.6,87
2010-12-08T00:00:00Z,15225,342,0.4,-1.7,1016,12.8,9.3,3.6,5.1,NA,3.4,-2,0,G,0,0,0,0,0,0.5,0.6,85.8
2010-12-09T00:00:00Z,16171,343,0.6,-2.8,NA,NA,11.1,4.3,6.2,NA,4.3,-2.1,0,G,0,0,0,0,0,0.5,0.6,78
2010-12-10T00:00:00Z,15602,344,4.4,2.3,NA,NA,11.4,4.6,7.7,NA,7.1,0.5,0,G,0,0,0,0,0,0.7,0.8,86.2
2010-12-11T00:00:00Z,10328,345,6.8,3.4,NA,NA,12.2,3.2,4.6,NA,9,4.9,0,G,0,0,0,0,0,0.8,1,78.9
2010-12-12T00:00:00Z,8585,346,3.9,1.4,1024.1,21,10.9,2.2,4.1,NA,6.2,0,0,G,0,0,0,0,0,0.7,0.8,83.7
2010-12-13T00:00:00Z,14997,347,2.1,0.6,NA,NA,6,1.8,3.6,NA,4.3,-1,0.3,G,1,1,0,0,0,0.6,0.7,89.8
2010-12-14T00:00:00Z,15550,348,3.8,1.2,NA,NA,10.3,2.2,3.6,NA,5.1,1,0.3,G,1,1,0,0,0,0.7,0.8,83.1
2010-12-15T00:00:00Z,13412,349,2.2,0.2,NA,NA,8.5,2.6,4.1,NA,5,-1,0,G,1,0,0,0,0,0.6,0.7,86.6
2010-12-16T00:00:00Z,10833,350,4.1,1.4,NA,NA,10.3,5.4,9.8,13.4,7.1,-2,0.5,G,1,1,0,0,0,0.7,0.8,82.6
2010-12-17T00:00:00Z,10366,351,-3.1,-5.3,NA,NA,11.9,3.4,6.2,NA,0.2,-5,3.3,G,1,0,0,0,NA,0.4,0.5,84.8
2010-12-18T00:00:00Z,2805,352,-2.5,-3.7,NA,NA,8.4,3,6.7,NA,0.5,-6.9,0.3,G,1,1,0,0,0,0.5,0.5,91.5
2010-12-19T00:00:00Z,2764,353,-2.9,-4.8,NA,NA,10.5,2.4,4.1,NA,0.5,-7,0.3,G,0,0,0,0,0,0.4,0.5,86.7
2010-12-20T00:00:00Z,6876,354,-3.2,-5.1,NA,NA,7.9,3,6.7,11.8,1,-9.4,0,G,1,1,1,0,0,0.4,0.5,86.7
2010-12-21T00:00:00Z,7879,355,1,-0.3,NA,NA,4.8,2.4,4.6,NA,2,0,2,F,1,1,0,0,0,0.6,0.7,91
2010-12-22T00:00:00Z,9718,356,0.9,-0.6,NA,NA,5.8,2.6,5.1,NA,2,-0.2,3,F,1,0,0,0,0,0.6,0.7,89.7
2010-12-23T00:00:00Z,8867,357,0.9,-2.8,NA,NA,10.9,4.1,6.7,11.8,2.3,-1.1,0,F,0,0,0,0,0,0.5,0.7,76.3
2010-12-24T00:00:00Z,5402,358,0.7,-2.4,NA,NA,11.1,3.1,5.7,NA,2.1,-1,0.3,G,0,0,0,0,0,0.5,0.6,79.7
2010-12-25T00:00:00Z,5621,359,-1.9,-3.8,NA,NA,8,2.4,3.6,NA,0,-4,0.3,G,0,0,0,0,0,0.5,0.5,86.8
2010-12-26T00:00:00Z,4383,360,-2.2,-5.2,NA,NA,9.8,1.7,3.6,NA,1.7,-7,0,G,0,0,0,0,0,0.4,0.5,79.9
2010-12-27T00:00:00Z,3971,361,3.1,-0.7,NA,NA,10.1,4.2,7.2,NA,4.9,0.5,0,G,1,0,0,0,0,0.6,0.8,76.1
2010-12-28T00:00:00Z,3763,362,5.2,4.1,NA,NA,4.2,2.5,4.6,NA,8,2.5,5.6,F,1,0,0,0,0,0.8,0.9,92.6
2010-12-29T00:00:00Z,7010,363,8,7.3,NA,NA,2.7,1.8,3.1,NA,9.5,6.9,0,F,1,1,0,0,0,1,1.1,95.3
2010-12-30T00:00:00Z,7464,364,6.6,5.7,NA,NA,4.7,2.3,3.6,NA,8,5.6,1,F,1,0,0,0,0,0.9,1,94
2010-12-31T00:00:00Z,7448,365,5.8,3.9,NA,NA,8.4,1.5,4.1,NA,7,5,0,F,0,0,0,0,0,0.8,0.9,87.6
2011-01-01T00:00:00Z,4555,1,5.6,3,NA,NA,8.7,2.7,4.1,NA,7.2,4,0,G,1,0,0,0,0,0.8,0.9,83.4
2011-01-02T00:00:00Z,6250,2,2.9,-0.4,NA,NA,11.6,2.1,3.1,NA,4,2,0.5,G,1,0,0,0,0,0.6,0.8,78.9
2011-01-03T00:00:00Z,7262,3,1.4,-1.8,NA,NA,10.6,1.7,2.6,NA,2.9,-1,0,G,1,1,0,0,0,0.5,0.7,79.3
2011-01-04T00:00:00Z,13430,4,2.7,0.7,NA,NA,9.8,2.8,6.2,NA,5,0.3,0,F,1,0,0,0,0,0.6,0.7,86.7
2011-01-05T00:00:00Z,13757,5,5.6,3.1,NA,NA,8.9,5.4,8.7,12.3,7.1,3.8,0,F,1,0,0,0,0,0.8,0.9,83.9
2011-01-06T00:00:00Z,9595,6,4.1,2.9,NA,NA,7.1,1.7,3.1,NA,5.5,2,0.5,G,1,1,1,0,0,0.8,0.8,91.9
2011-01-07T00:00:00Z,9294,7,6.1,5.1,NA,NA,6.4,3.6,6.2,NA,10.8,1,11.4,G,1,1,0,0,0,0.9,0.9,93.3
2011-01-08T00:00:00Z,9338,8,6.9,4.1,NA,NA,11.4,6.3,10.3,14.4,10.4,1,13,G,1,0,0,0,0,0.8,1,82.4
2011-01-09T00:00:00Z,10558,9,3.1,-0.3,1008.5,5.4,13.4,4.2,6.2,NA,7.2,0,1,G,0,0,0,0,0,0.6,0.8,78.4
2011-01-10T00:00:00Z,16058,10,4.3,2.3,NA,NA,10.8,5,8.7,15.4,8.9,-1.9,0,G,1,0,0,0,0,0.7,0.8,86.8
2011-01-11T00:00:00Z,16412,11,5.8,2.9,NA,NA,10.9,4.4,7.7,NA,8.3,3,7.1,F,1,0,0,0,0,0.8,0.9,81.6
2011-01-12T00:00:00Z,13894,12,9.3,7.5,NA,NA,10.8,5.2,7.2,11.8,13,3.7,7.1,F,1,0,0,0,0,1,1.2,88.5
2011-01-13T00:00:00Z,15911,13,12.4,10.6,NA,NA,11.6,6.3,8.2,11.8,14,11,0.8,F,1,0,0,0,0,1.3,1.4,88.8
