date,series_id,value,maturity,duration
1967-10-01,TB3MS,4.56,3m,3-Month Treasury Bill
1967-11-01,TB3MS,4.73,3m,3-Month Treasury Bill
1967-12-01,TB3MS,4.97,3m,3-Month Treasury Bill
1968-01-01,TB3MS,5,3m,3-Month Treasury Bill
1968-02-01,TB3MS,4.98,3m,3-Month Treasury Bill
1968-03-01,TB3MS,5.17,3m,3-Month Treasury Bill
1968-04-01,TB3MS,5.38,3m,3-Month Treasury Bill
1968-05-01,TB3MS,5.66,3m,3-Month Treasury Bill
1968-06-01,TB3MS,5.52,3m,3-Month Treasury Bill
1968-07-01,TB3MS,5.31,3m,3-Month Treasury Bill
1968-08-01,TB3MS,5.09,3m,3-Month Treasury Bill
1968-09-01,TB3MS,5.19,3m,3-Month Treasury Bill
1968-10-01,TB3MS,5.35,3m,3-Month Treasury Bill
1968-11-01,TB3MS,5.45,3m,3-Month Treasury Bill
1968-12-01,TB3MS,5.96,3m,3-Month Treasury Bill
1969-01-01,TB3MS,6.14,3m,3-Month Treasury Bill
1969-02-01,TB3MS,6.12,3m,3-Month Treasury Bill
1969-03-01,TB3MS,6.02,3m,3-Month Treasury Bill
1969-04-01,TB3MS,6.11,3m,3-Month Treasury Bill
1969-05-01,TB3MS,6.04,3m,3-Month Treasury Bill
1969-06-01,TB3MS,6.44,3m,3-Month Treasury Bill
1969-07-01,TB3MS,7,3m,3-Month Treasury Bill
1969-08-01,TB3MS,6.98,3m,3-Month Treasury Bill
1969-09-01,TB3MS,7.09,3m,3-Month Treasury Bill
1969-10-01,TB3MS,7,3m,3-Month Treasury Bill
1969-11-01,TB3MS,7.24,3m,3-Month Treasury Bill
1969-12-01,TB3MS,7.82,3m,3-Month Treasury Bill
1970-01-01,TB3MS,7.87,3m,3-Month Treasury Bill
1970-02-01,TB3MS,7.13,3m,3-Month Treasury Bill
1970-03-01,TB3MS,6.63,3m,3-Month Treasury Bill
1970-04-01,TB3MS,6.51,3m,3-Month Treasury Bill
1970-05-01,TB3MS,6.84,3m,3-Month Treasury Bill
1970-06-01,TB3MS,6.68,3m,3-Month Treasury Bill
1970-07-01,TB3MS,6.45,3m,3-Month Treasury Bill
1970-08-01,TB3MS,6.41,3m,3-Month Treasury Bill
1970-09-01,TB3MS,6.12,3m,3-Month Treasury Bill
1970-10-01,TB3MS,5.91,3m,3-Month Treasury Bill
1970-11-01,TB3MS,5.28,3m,3-Month Treasury Bill
1970-12-01,TB3MS,4.87,3m,3-Month Treasury Bill
1971-01-01,TB3MS,4.44,3m,3-Month Treasury Bill
1971-02-01,TB3MS,3.7,3m,3-Month Treasury Bill
1971-03-01,TB3MS,3.38,3m,3-Month Treasury Bill
1971-04-01,TB3MS,3.86,3m,3-Month Treasury Bill
1971-05-01,TB3MS,4.14,3m,3-Month Treasury Bill
1971-06-01,TB3MS,4.75,3m,3-Month Treasury Bill
1971-07-01,TB3MS,5.4,3m,3-Month Treasury Bill
1971-08-01,TB3MS,4.94,3m,3-Month Treasury Bill
1971-09-01,TB3MS,4.69,3m,3-Month Treasury Bill
1971-10-01,TB3MS,4.46,3m,3-Month Treasury Bill
1971-11-01,TB3MS,4.22,3m,3-Month Treasury Bill
1971-12-01,TB3MS,4.01,3m,3-Month Treasury Bill
1972-01-01,TB3MS,3.38,3m,3-Month Treasury Bill
1972-02-01,TB3MS,3.2,3m,3-Month Treasury Bill
1972-03-01,TB3MS,3.73,3m,3-Month Treasury Bill
1972-04-01,TB3MS,3.71,3m,3-Month Treasury Bill
1972-05-01,TB3MS,3.69,3m,3-Month Treasury Bill
1972-06-01,TB3MS,3.91,3m,3-Month Treasury Bill
1972-07-01,TB3MS,3.98,3m,3-Month Treasury Bill
1972-08-01,TB3MS,4.02,3m,3-Month Treasury Bill
1972-09-01,TB3MS,4.66,3m,3-Month Treasury Bill
1972-10-01,TB3MS,4.74,3m,3-Month Treasury Bill
1972-11-01,TB3MS,4.78,3m,3-Month Treasury Bill
1972-12-01,TB3MS,5.07,3m,3-Month Treasury Bill
1973-01-01,TB3MS,5.41,3m,3-Month Treasury Bill
1973-02-01,TB3MS,5.6,3m,3-Month Treasury Bill
1973-03-01,TB3MS,6.09,3m,3-Month Treasury Bill
1973-04-01,TB3MS,6.26,3m,3-Month Treasury Bill
1973-05-01,TB3MS,6.36,3m,3-Month Treasury Bill
1973-06-01,TB3MS,7.19,3m,3-Month Treasury Bill
1973-07-01,TB3MS,8.01,3m,3-Month Treasury Bill
1973-08-01,TB3MS,8.67,3m,3-Month Treasury Bill
1973-09-01,TB3MS,8.29,3m,3-Month Treasury Bill
1973-10-01,TB3MS,7.22,3m,3-Month Treasury Bill
1973-11-01,TB3MS,7.83,3m,3-Month Treasury Bill
1973-12-01,TB3MS,7.45,3m,3-Month Treasury Bill
1974-01-01,TB3MS,7.77,3m,3-Month Treasury Bill
1974-02-01,TB3MS,7.12,3m,3-Month Treasury Bill
1974-03-01,TB3MS,7.96,3m,3-Month Treasury Bill
1974-04-01,TB3MS,8.33,3m,3-Month Treasury Bill
1974-05-01,TB3MS,8.23,3m,3-Month Treasury Bill
1974-06-01,TB3MS,7.9,3m,3-Month Treasury Bill
1974-07-01,TB3MS,7.55,3m,3-Month Treasury Bill
1974-08-01,TB3MS,8.96,3m,3-Month Treasury Bill
1974-09-01,TB3MS,8.06,3m,3-Month Treasury Bill
1974-10-01,TB3MS,7.46,3m,3-Month Treasury Bill
1974-11-01,TB3MS,7.47,3m,3-Month Treasury Bill
1974-12-01,TB3MS,7.15,3m,3-Month Treasury Bill
1975-01-01,TB3MS,6.26,3m,3-Month Treasury Bill
1975-02-01,TB3MS,5.5,3m,3-Month Treasury Bill
1975-03-01,TB3MS,5.49,3m,3-Month Treasury Bill
1975-04-01,TB3MS,5.61,3m,3-Month Treasury Bill
1975-05-01,TB3MS,5.23,3m,3-Month Treasury Bill
1975-06-01,TB3MS,5.34,3m,3-Month Treasury Bill
1975-07-01,TB3MS,6.13,3m,3-Month Treasury Bill
1975-08-01,TB3MS,6.44,3m,3-Month Treasury Bill
1975-09-01,TB3MS,6.42,3m,3-Month Treasury Bill
1975-10-01,TB3MS,5.96,3m,3-Month Treasury Bill
1975-11-01,TB3MS,5.48,3m,3-Month Treasury Bill
1975-12-01,TB3MS,5.44,3m,3-Month Treasury Bill
1976-01-01,TB3MS,4.87,3m,3-Month Treasury Bill
1976-02-01,TB3MS,4.88,3m,3-Month Treasury Bill
1976-03-01,TB3MS,5,3m,3-Month Treasury Bill
1976-04-01,TB3MS,4.86,3m,3-Month Treasury Bill
1976-05-01,TB3MS,5.2,3m,3-Month Treasury Bill
1976-06-01,TB3MS,5.41,3m,3-Month Treasury Bill
1976-07-01,TB3MS,5.23,3m,3-Month Treasury Bill
1976-08-01,TB3MS,5.14,3m,3-Month Treasury Bill
1976-09-01,TB3MS,5.08,3m,3-Month Treasury Bill
1976-10-01,TB3MS,4.92,3m,3-Month Treasury Bill
1976-11-01,TB3MS,4.75,3m,3-Month Treasury Bill
1976-12-01,TB3MS,4.35,3m,3-Month Treasury Bill
1977-01-01,TB3MS,4.62,3m,3-Month Treasury Bill
1977-02-01,TB3MS,4.67,3m,3-Month Treasury Bill
1977-03-01,TB3MS,4.6,3m,3-Month Treasury Bill
1977-04-01,TB3MS,4.54,3m,3-Month Treasury Bill
1977-05-01,TB3MS,4.96,3m,3-Month Treasury Bill
1977-06-01,TB3MS,5.02,3m,3-Month Treasury Bill
1977-07-01,TB3MS,5.19,3m,3-Month Treasury Bill
1977-08-01,TB3MS,5.49,3m,3-Month Treasury Bill
1977-09-01,TB3MS,5.81,3m,3-Month Treasury Bill
1977-10-01,TB3MS,6.16,3m,3-Month Treasury Bill
1977-11-01,TB3MS,6.1,3m,3-Month Treasury Bill
1977-12-01,TB3MS,6.07,3m,3-Month Treasury Bill
1978-01-01,TB3MS,6.44,3m,3-Month Treasury Bill
1978-02-01,TB3MS,6.45,3m,3-Month Treasury Bill
1978-03-01,TB3MS,6.29,3m,3-Month Treasury Bill
1978-04-01,TB3MS,6.29,3m,3-Month Treasury Bill
1978-05-01,TB3MS,6.41,3m,3-Month Treasury Bill
1978-06-01,TB3MS,6.73,3m,3-Month Treasury Bill
1978-07-01,TB3MS,7.01,3m,3-Month Treasury Bill
1978-08-01,TB3MS,7.08,3m,3-Month Treasury Bill
1978-09-01,TB3MS,7.85,3m,3-Month Treasury Bill
1978-10-01,TB3MS,7.99,3m,3-Month Treasury Bill
1978-11-01,TB3MS,8.64,3m,3-Month Treasury Bill
1978-12-01,TB3MS,9.08,3m,3-Month Treasury Bill
1979-01-01,TB3MS,9.35,3m,3-Month Treasury Bill
1979-02-01,TB3MS,9.32,3m,3-Month Treasury Bill
1979-03-01,TB3MS,9.48,3m,3-Month Treasury Bill
1979-04-01,TB3MS,9.46,3m,3-Month Treasury Bill
1979-05-01,TB3MS,9.61,3m,3-Month Treasury Bill
1979-06-01,TB3MS,9.06,3m,3-Month Treasury Bill
1979-07-01,TB3MS,9.24,3m,3-Month Treasury Bill
1979-08-01,TB3MS,9.52,3m,3-Month Treasury Bill
1979-09-01,TB3MS,10.26,3m,3-Month Treasury Bill
1979-10-01,TB3MS,11.7,3m,3-Month Treasury Bill
1979-11-01,TB3MS,11.79,3m,3-Month Treasury Bill
1979-12-01,TB3MS,12.04,3m,3-Month Treasury Bill
1980-01-01,TB3MS,12,3m,3-Month Treasury Bill
1980-02-01,TB3MS,12.86,3m,3-Month Treasury Bill
1980-03-01,TB3MS,15.2,3m,3-Month Treasury Bill
1980-04-01,TB3MS,13.2,3m,3-Month Treasury Bill
1980-05-01,TB3MS,8.58,3m,3-Month Treasury Bill
1980-06-01,TB3MS,7.07,3m,3-Month Treasury Bill
1980-07-01,TB3MS,8.06,3m,3-Month Treasury Bill
1980-08-01,TB3MS,9.13,3m,3-Month Treasury Bill
1980-09-01,TB3MS,10.27,3m,3-Month Treasury Bill
1980-10-01,TB3MS,11.62,3m,3-Month Treasury Bill
1980-11-01,TB3MS,13.73,3m,3-Month Treasury Bill
1980-12-01,TB3MS,15.49,3m,3-Month Treasury Bill
1981-01-01,TB3MS,15.02,3m,3-Month Treasury Bill
1981-02-01,TB3MS,14.79,3m,3-Month Treasury Bill
1981-03-01,TB3MS,13.36,3m,3-Month Treasury Bill
1981-04-01,TB3MS,13.69,3m,3-Month Treasury Bill
1981-05-01,TB3MS,16.3,3m,3-Month Treasury Bill
1981-06-01,TB3MS,14.73,3m,3-Month Treasury Bill
1981-07-01,TB3MS,14.95,3m,3-Month Treasury Bill
1981-08-01,TB3MS,15.51,3m,3-Month Treasury Bill
1981-09-01,TB3MS,14.7,3m,3-Month Treasury Bill
1981-10-01,TB3MS,13.54,3m,3-Month Treasury Bill
1981-11-01,TB3MS,10.86,3m,3-Month Treasury Bill
1981-12-01,TB3MS,10.85,3m,3-Month Treasury Bill
1982-01-01,TB3MS,12.28,3m,3-Month Treasury Bill
1982-02-01,TB3MS,13.48,3m,3-Month Treasury Bill
1982-03-01,TB3MS,12.68,3m,3-Month Treasury Bill
1982-04-01,TB3MS,12.7,3m,3-Month Treasury Bill
1982-05-01,TB3MS,12.09,3m,3-Month Treasury Bill
1982-06-01,TB3MS,12.47,3m,3-Month Treasury Bill
1982-07-01,TB3MS,11.35,3m,3-Month Treasury Bill
1982-08-01,TB3MS,8.68,3m,3-Month Treasury Bill
1982-09-01,TB3MS,7.92,3m,3-Month Treasury Bill
1982-10-01,TB3MS,7.71,3m,3-Month Treasury Bill
1982-11-01,TB3MS,8.07,3m,3-Month Treasury Bill
1982-12-01,TB3MS,7.94,3m,3-Month Treasury Bill
1983-01-01,TB3MS,7.86,3m,3-Month Treasury Bill
1983-02-01,TB3MS,8.11,3m,3-Month Treasury Bill
1983-03-01,TB3MS,8.35,3m,3-Month Treasury Bill
1983-04-01,TB3MS,8.21,3m,3-Month Treasury Bill
1983-05-01,TB3MS,8.19,3m,3-Month Treasury Bill
1983-06-01,TB3MS,8.79,3m,3-Month Treasury Bill
1983-07-01,TB3MS,9.08,3m,3-Month Treasury Bill
1983-08-01,TB3MS,9.34,3m,3-Month Treasury Bill
1983-09-01,TB3MS,9,3m,3-Month Treasury Bill
1983-10-01,TB3MS,8.64,3m,3-Month Treasury Bill
1983-11-01,TB3MS,8.76,3m,3-Month Treasury Bill
1983-12-01,TB3MS,9,3m,3-Month Treasury Bill
1984-01-01,TB3MS,8.9,3m,3-Month Treasury Bill
1984-02-01,TB3MS,9.09,3m,3-Month Treasury Bill
1984-03-01,TB3MS,9.52,3m,3-Month Treasury Bill
1984-04-01,TB3MS,9.69,3m,3-Month Treasury Bill
1984-05-01,TB3MS,9.83,3m,3-Month Treasury Bill
1984-06-01,TB3MS,9.87,3m,3-Month Treasury Bill
1984-07-01,TB3MS,10.12,3m,3-Month Treasury Bill
1984-08-01,TB3MS,10.47,3m,3-Month Treasury Bill
1984-09-01,TB3MS,10.37,3m,3-Month Treasury Bill
1984-10-01,TB3MS,9.74,3m,3-Month Treasury Bill
1984-11-01,TB3MS,8.61,3m,3-Month Treasury Bill
1984-12-01,TB3MS,8.06,3m,3-Month Treasury Bill
1985-01-01,TB3MS,7.76,3m,3-Month Treasury Bill
1985-02-01,TB3MS,8.27,3m,3-Month Treasury Bill
1985-03-01,TB3MS,8.52,3m,3-Month Treasury Bill
1985-04-01,TB3MS,7.95,3m,3-Month Treasury Bill
1985-05-01,TB3MS,7.48,3m,3-Month Treasury Bill
1985-06-01,TB3MS,6.95,3m,3-Month Treasury Bill
1985-07-01,TB3MS,7.08,3m,3-Month Treasury Bill
1985-08-01,TB3MS,7.14,3m,3-Month Treasury Bill
1985-09-01,TB3MS,7.1,3m,3-Month Treasury Bill
1985-10-01,TB3MS,7.16,3m,3-Month Treasury Bill
1985-11-01,TB3MS,7.24,3m,3-Month Treasury Bill
1985-12-01,TB3MS,7.1,3m,3-Month Treasury Bill
1986-01-01,TB3MS,7.07,3m,3-Month Treasury Bill
1986-02-01,TB3MS,7.06,3m,3-Month Treasury Bill
1986-03-01,TB3MS,6.56,3m,3-Month Treasury Bill
1986-04-01,TB3MS,6.06,3m,3-Month Treasury Bill
1986-05-01,TB3MS,6.15,3m,3-Month Treasury Bill
1986-06-01,TB3MS,6.21,3m,3-Month Treasury Bill
1986-07-01,TB3MS,5.83,3m,3-Month Treasury Bill
1986-08-01,TB3MS,5.53,3m,3-Month Treasury Bill
1986-09-01,TB3MS,5.21,3m,3-Month Treasury Bill
1986-10-01,TB3MS,5.18,3m,3-Month Treasury Bill
1986-11-01,TB3MS,5.35,3m,3-Month Treasury Bill
1986-12-01,TB3MS,5.53,3m,3-Month Treasury Bill
1987-01-01,TB3MS,5.43,3m,3-Month Treasury Bill
1987-02-01,TB3MS,5.59,3m,3-Month Treasury Bill
1987-03-01,TB3MS,5.59,3m,3-Month Treasury Bill
1987-04-01,TB3MS,5.64,3m,3-Month Treasury Bill
1987-05-01,TB3MS,5.66,3m,3-Month Treasury Bill
1987-06-01,TB3MS,5.67,3m,3-Month Treasury Bill
1987-07-01,TB3MS,5.69,3m,3-Month Treasury Bill
1987-08-01,TB3MS,6.04,3m,3-Month Treasury Bill
1987-09-01,TB3MS,6.4,3m,3-Month Treasury Bill
1987-10-01,TB3MS,6.13,3m,3-Month Treasury Bill
1987-11-01,TB3MS,5.69,3m,3-Month Treasury Bill
1987-12-01,TB3MS,5.77,3m,3-Month Treasury Bill
1988-01-01,TB3MS,5.81,3m,3-Month Treasury Bill
1988-02-01,TB3MS,5.66,3m,3-Month Treasury Bill
1988-03-01,TB3MS,5.7,3m,3-Month Treasury Bill
1988-04-01,TB3MS,5.91,3m,3-Month Treasury Bill
1988-05-01,TB3MS,6.26,3m,3-Month Treasury Bill
1988-06-01,TB3MS,6.46,3m,3-Month Treasury Bill
1988-07-01,TB3MS,6.73,3m,3-Month Treasury Bill
1988-08-01,TB3MS,7.06,3m,3-Month Treasury Bill
1988-09-01,TB3MS,7.24,3m,3-Month Treasury Bill
1988-10-01,TB3MS,7.35,3m,3-Month Treasury Bill
1988-11-01,TB3MS,7.76,3m,3-Month Treasury Bill
1988-12-01,TB3MS,8.07,3m,3-Month Treasury Bill
1989-01-01,TB3MS,8.27,3m,3-Month Treasury Bill
1989-02-01,TB3MS,8.53,3m,3-Month Treasury Bill
1989-03-01,TB3MS,8.82,3m,3-Month Treasury Bill
1989-04-01,TB3MS,8.65,3m,3-Month Treasury Bill
1989-05-01,TB3MS,8.43,3m,3-Month Treasury Bill
1989-06-01,TB3MS,8.15,3m,3-Month Treasury Bill
1989-07-01,TB3MS,7.88,3m,3-Month Treasury Bill
1989-08-01,TB3MS,7.9,3m,3-Month Treasury Bill
1989-09-01,TB3MS,7.75,3m,3-Month Treasury Bill
1989-10-01,TB3MS,7.64,3m,3-Month Treasury Bill
1989-11-01,TB3MS,7.69,3m,3-Month Treasury Bill
1989-12-01,TB3MS,7.63,3m,3-Month Treasury Bill
1990-01-01,TB3MS,7.64,3m,3-Month Treasury Bill
1990-02-01,TB3MS,7.74,3m,3-Month Treasury Bill
1990-03-01,TB3MS,7.9,3m,3-Month Treasury Bill
1990-04-01,TB3MS,7.77,3m,3-Month Treasury Bill
1990-05-01,TB3MS,7.74,3m,3-Month Treasury Bill
1990-06-01,TB3MS,7.73,3m,3-Month Treasury Bill
1990-07-01,TB3MS,7.62,3m,3-Month Treasury Bill
1990-08-01,TB3MS,7.45,3m,3-Month Treasury Bill
1990-09-01,TB3MS,7.36,3m,3-Month Treasury Bill
1990-10-01,TB3MS,7.17,3m,3-Month Treasury Bill
1990-11-01,TB3MS,7.06,3m,3-Month Treasury Bill
1990-12-01,TB3MS,6.74,3m,3-Month Treasury Bill
1991-01-01,TB3MS,6.22,3m,3-Month Treasury Bill
1991-02-01,TB3MS,5.94,3m,3-Month Treasury Bill
1991-03-01,TB3MS,5.91,3m,3-Month Treasury Bill
1991-04-01,TB3MS,5.65,3m,3-Month Treasury Bill
1991-05-01,TB3MS,5.46,3m,3-Month Treasury Bill
1991-06-01,TB3MS,5.57,3m,3-Month Treasury Bill
1991-07-01,TB3MS,5.58,3m,3-Month Treasury Bill
1991-08-01,TB3MS,5.33,3m,3-Month Treasury Bill
1991-09-01,TB3MS,5.22,3m,3-Month Treasury Bill
1991-10-01,TB3MS,4.99,3m,3-Month Treasury Bill
1991-11-01,TB3MS,4.56,3m,3-Month Treasury Bill
1991-12-01,TB3MS,4.07,3m,3-Month Treasury Bill
1992-01-01,TB3MS,3.8,3m,3-Month Treasury Bill
1992-02-01,TB3MS,3.84,3m,3-Month Treasury Bill
1992-03-01,TB3MS,4.04,3m,3-Month Treasury Bill
1992-04-01,TB3MS,3.75,3m,3-Month Treasury Bill
1992-05-01,TB3MS,3.63,3m,3-Month Treasury Bill
1992-06-01,TB3MS,3.66,3m,3-Month Treasury Bill
1992-07-01,TB3MS,3.21,3m,3-Month Treasury Bill
1992-08-01,TB3MS,3.13,3m,3-Month Treasury Bill
1992-09-01,TB3MS,2.91,3m,3-Month Treasury Bill
1992-10-01,TB3MS,2.86,3m,3-Month Treasury Bill
1992-11-01,TB3MS,3.13,3m,3-Month Treasury Bill
1992-12-01,TB3MS,3.22,3m,3-Month Treasury Bill
1993-01-01,TB3MS,3,3m,3-Month Treasury Bill
1993-02-01,TB3MS,2.93,3m,3-Month Treasury Bill
1993-03-01,TB3MS,2.95,3m,3-Month Treasury Bill
1993-04-01,TB3MS,2.87,3m,3-Month Treasury Bill
1993-05-01,TB3MS,2.96,3m,3-Month Treasury Bill
1993-06-01,TB3MS,3.07,3m,3-Month Treasury Bill
1993-07-01,TB3MS,3.04,3m,3-Month Treasury Bill
1993-08-01,TB3MS,3.02,3m,3-Month Treasury Bill
1993-09-01,TB3MS,2.95,3m,3-Month Treasury Bill
1993-10-01,TB3MS,3.02,3m,3-Month Treasury Bill
1993-11-01,TB3MS,3.1,3m,3-Month Treasury Bill
1993-12-01,TB3MS,3.06,3m,3-Month Treasury Bill
1994-01-01,TB3MS,2.98,3m,3-Month Treasury Bill
1994-02-01,TB3MS,3.25,3m,3-Month Treasury Bill
1994-03-01,TB3MS,3.5,3m,3-Month Treasury Bill
1994-04-01,TB3MS,3.68,3m,3-Month Treasury Bill
1994-05-01,TB3MS,4.14,3m,3-Month Treasury Bill
1994-06-01,TB3MS,4.14,3m,3-Month Treasury Bill
1994-07-01,TB3MS,4.33,3m,3-Month Treasury Bill
1994-08-01,TB3MS,4.48,3m,3-Month Treasury Bill
1994-09-01,TB3MS,4.62,3m,3-Month Treasury Bill
1994-10-01,TB3MS,4.95,3m,3-Month Treasury Bill
1994-11-01,TB3MS,5.29,3m,3-Month Treasury Bill
1994-12-01,TB3MS,5.6,3m,3-Month Treasury Bill
1995-01-01,TB3MS,5.71,3m,3-Month Treasury Bill
1995-02-01,TB3MS,5.77,3m,3-Month Treasury Bill
1995-03-01,TB3MS,5.73,3m,3-Month Treasury Bill
1995-04-01,TB3MS,5.65,3m,3-Month Treasury Bill
1995-05-01,TB3MS,5.67,3m,3-Month Treasury Bill
1995-06-01,TB3MS,5.47,3m,3-Month Treasury Bill
1995-07-01,TB3MS,5.42,3m,3-Month Treasury Bill
1995-08-01,TB3MS,5.4,3m,3-Month Treasury Bill
1995-09-01,TB3MS,5.28,3m,3-Month Treasury Bill
1995-10-01,TB3MS,5.28,3m,3-Month Treasury Bill
1995-11-01,TB3MS,5.36,3m,3-Month Treasury Bill
1995-12-01,TB3MS,5.14,3m,3-Month Treasury Bill
1996-01-01,TB3MS,5,3m,3-Month Treasury Bill
1996-02-01,TB3MS,4.83,3m,3-Month Treasury Bill
1996-03-01,TB3MS,4.96,3m,3-Month Treasury Bill
1996-04-01,TB3MS,4.95,3m,3-Month Treasury Bill
1996-05-01,TB3MS,5.02,3m,3-Month Treasury Bill
